,square_feet,price
1,156,11000
2,32,1200
3,10,1875
4,85,7300
5,87,14000
6,49,7600
7,10,940
8,85,7200
9,10,1591
10,10,1273
11,164,22000
12,72,4900
13,92,10000
14,138,17500
15,65,5300
16,27,1700
17,66,4300
18,220,25000
19,10,1390
20,229,18900
21,70,6000
22,43,4700
23,89,4800
24,10,2000
25,82,6000
26,103,8500
27,75,6850
28,10,1550
29,10,1680
30,35,1800
31,155,18000
32,112,8800
33,10,1900
34,69,4800
35,10,1150
36,78,7000
37,10,1172
38,10,2350
39,120,9500
40,72,3500
41,261,58000
42,187,18000
43,34,3500
44,75,5200
45,89,4300
46,85,7800
47,89,9800
48,106,8600
49,86,5000
50,120,12000
51,75,2700
52,87,6500
53,173,25000
54,89,9600
55,43,3300
56,148,15800
57,81,6800
58,78,8000
59,98,7000
60,40,3700
61,86,8500
62,123,6200
63,85,6000
64,106,4800
65,44,5300
66,10,1717
67,62,4100
68,98,7300
69,52,5800
70,72,7388
71,147,6900
72,133,13000
73,69,3700
74,80,3000
75,42,1980
76,10,1450
77,80,6200
78,86,6400
79,10,1620
80,76,6500
81,10,1920
82,142,10000
83,75,5500
84,76,6600
85,70,5900
86,98,13000
87,83,18000
88,10,2190
89,10,2060
90,85,5300
91,26,1500
92,97,6200
93,85,4200
94,50,4000
95,80,8500
96,315,45000
97,10,1140
98,92,4500
99,36,4500
100,224,4000
101,148,20000
102,69,3200
103,65,2600
104,70,4200
105,26,1600
106,40,2000
107,10,1730
108,83,5600
109,124,4000
110,28,3200
111,36,2600
112,110,5800
113,38,1800
114,110,6000
115,83,5500
116,40,2700
117,89,4000
118,202,15000
119,60,6300
120,78,6500
121,71,6601
122,89,8500
123,87,6500
124,88,3000
125,64,6500
126,104,7000
127,41,3600
128,239,32000
129,156,15000
130,122,8500
131,128,6500
132,60,3800
133,10,1760
134,64,5600
135,10,1200
136,47,5500
137,66,5200
138,91,4700
139,109,4200
140,39,2000
141,65,3300
142,56,5500
143,66,6300
144,10,1340
145,10,2030
146,89,8200
147,72,2800
148,115,7800
149,45,4200
150,51,6000
151,68,6500
152,101,6800
153,93,7800
154,10,1150
155,62,6200
156,47,2500
157,90,6500
158,44,5000
159,65,4800
160,105,8900
161,136,8600
162,72,6800
163,65,2500
164,62,6200
165,68,6200
166,75,7300
167,114,6000
168,10,1690
169,83,12000
170,10,1990
171,210,35000
172,89,6800
173,88,15000
174,89,5000
175,166,32000
176,75,6800
177,26,1650
178,151,14000
179,10,1201
180,121,11000
181,10,2050
182,123,12800
183,71,6000
184,38,1780
185,83,7800
186,84,10000
187,78,7500
188,10,1830
189,45,2100
190,78,6000
191,122,4000
192,132,12000
193,70,4500
194,97,7200
195,87,7000
196,82,4200
197,65,2300
198,89,7300
199,262,60000
200,88,4500
201,82,5300
202,89,6600
203,175,19000
204,39,4000
205,89,2900
206,32,3400
207,43,3600
208,36,4500
209,10,2250
210,96,9500
211,80,7000
212,10,2130
213,42,5000
214,65,4999
215,28,700
